Identifiant du message;Date et heure de la publication;Date de début;Date de fin prévisionnelle;Type d'indisponibilité;Filière de production;Type d'évènement;Nom du groupe ou de la centrale de production;Code EIC du groupe ou de la centrale de production;Société;Code EIC de la société;Capacité installée;Capacité disponible;Capacité indisponible;Cause de l'arrêt;Remarques;Statut;Unité de mesure;Code localisation
FOSCH20111231000000000000_003;07/12/2012 03:15;31/12/2011 01:00;02/01/2014 01:00;Indisponibilité fortuite;Gaz;Indisponibilité de production;CYCOFOS;17W100P100P01687;ENGIE;17X100A100F0054X;486;0;486;Divers;-;Annulée;MW;10YFR-RTE------C
FOSCH20111231000000000000_002;07/12/2012 03:15;31/12/2011 01:00;02/01/2014 01:00;Indisponibilité fortuite;Gaz;Indisponibilité de production;CYCOFOS;17W100P100P01687;ENGIE;17X100A100F0054X;486;0;486;Divers;-;Inactive;MW;10YFR-RTE------C
FOSCH20111231000000000000_001;07/12/2012 03:15;31/12/2011 01:00;02/01/2013 01:00;Indisponibilité fortuite;Gaz;Indisponibilité de production;CYCOFOS;17W100P100P01687;ENGIE;17X100A100F0054X;486;0;486;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20121230T1943240000_001;30/12/2012 19:43;01/01/2013 08:00;01/01/2013 14:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;FLAMANVILLE 2;17W100P100P0127L;EDF;17X100A100R00182;1330;650;680;Divers;-;Active;MW;10YFR-RTE------C
04424_1964700000000000000_002;31/12/2012 22:58;31/12/2012 22:10;02/01/2013 17:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;ARRIGHI 1;17W100P100P0031Y;EDF;17X100A100R00182;125;0;125;Divers;-;Active;MW;10YFR-RTE------C
04424_20121231T1701590000_001;31/12/2012 17:01;31/12/2012 20:00;01/01/2013 04:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CIVAUX 1;17W100P100P0113W;EDF;17X100A100R00182;1495;900;595;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Active;MW;10YFR-RTE------C
04424_20121231T1703230000_002;31/12/2012 17:03;01/01/2013 04:00;01/01/2013 11:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CIVAUX 1;17W100P100P0113W;EDF;17X100A100R00182;1495;0;1495;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Active;MW;10YFR-RTE------C
04424_20121231T1703230000_001;31/12/2012 17:03;01/01/2013 04:00;01/01/2013 11:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CIVAUX 1;17W100P100P0113W;EDF;17X100A100R00182;1495;0;1495;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Inactive;MW;10YFR-RTE------C
04424_20121231T1835540000_004;31/12/2012 18:35;01/01/2013 07:00;01/01/2013 11:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;458;457;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Active;MW;10YFR-RTE------C
04424_20121231T1835540000_003;31/12/2012 18:35;01/01/2013 07:00;02/01/2013 05:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 4;17W100P100P0153K;EDF;17X100A100R00182;915;458;457;Pour le thermique : Turbine - Poste d'eau - Condensation;-;Inactive;MW;10YFR-RTE------C
