Unnamed: 0;region;filiere_production;date;puis_max_installee
0;AUVERGNE RHONE ALPES;bioenergies;2013-01-01 00:00:00;104.762
1;AUVERGNE RHONE ALPES;eolien;2013-01-01 00:00:00;335.37940000000003
2;AUVERGNE RHONE ALPES;hydraulique;2013-01-01 00:00:00;10679.46389
3;AUVERGNE RHONE ALPES;nucleaire;2013-01-01 00:00:00;13570.0
4;AUVERGNE RHONE ALPES;solaire;2013-01-01 00:00:00;703.899945
5;AUVERGNE RHONE ALPES;thermique;2013-01-01 00:00:00;904.21
6;BOURGOGNE FRANCHE COMTE;bioenergies;2013-01-01 00:00:00;24.39
7;BOURGOGNE FRANCHE COMTE;eolien;2013-01-01 00:00:00;203.6
8;BOURGOGNE FRANCHE COMTE;hydraulique;2013-01-01 00:00:00;430.06432
9;BOURGOGNE FRANCHE COMTE;solaire;2013-01-01 00:00:00;224.404975
10;BOURGOGNE FRANCHE COMTE;thermique;2013-01-01 00:00:00;288.818
11;BRETAGNE;bioenergies;2013-01-01 00:00:00;35.648
12;BRETAGNE;eolien;2013-01-01 00:00:00;715.6809000000001
13;BRETAGNE;hydraulique;2013-01-01 00:00:00;11.0
14;BRETAGNE;solaire;2013-01-01 00:00:00;200.56188
15;BRETAGNE;thermique;2013-01-01 00:00:00;658.476
16;CENTRE VAL DE LOIRE;bioenergies;2013-01-01 00:00:00;41.276
17;CENTRE VAL DE LOIRE;eolien;2013-01-01 00:00:00;661.934
18;CENTRE VAL DE LOIRE;hydraulique;2013-01-01 00:00:00;90.651
19;CENTRE VAL DE LOIRE;nucleaire;2013-01-01 00:00:00;11630.0
20;CENTRE VAL DE LOIRE;solaire;2013-01-01 00:00:00;155.337562
21;CENTRE VAL DE LOIRE;thermique;2013-01-01 00:00:00;156.688
22;GRAND EST;bioenergies;2013-01-01 00:00:00;75.9025
23;GRAND EST;eolien;2013-01-01 00:00:00;1802.585
24;GRAND EST;hydraulique;2013-01-01 00:00:00;2267.9864
25;GRAND EST;nucleaire;2013-01-01 00:00:00;10820.0
26;GRAND EST;solaire;2013-01-01 00:00:00;495.656904
27;GRAND EST;thermique;2013-01-01 00:00:00;3378.019
28;HAUTS DE FRANCE;bioenergies;2013-01-01 00:00:00;122.104
29;HAUTS DE FRANCE;eolien;2013-01-01 00:00:00;1526.834
30;HAUTS DE FRANCE;hydraulique;2013-01-01 00:00:00;4.307
31;HAUTS DE FRANCE;nucleaire;2013-01-01 00:00:00;5460.0
32;HAUTS DE FRANCE;solaire;2013-01-01 00:00:00;185.665551
33;HAUTS DE FRANCE;thermique;2013-01-01 00:00:00;1806.183
34;ILE DE FRANCE;bioenergies;2013-01-01 00:00:00;262.354
